Company,Search Term,Title,Job ID,Location,Posted On,Job URL
Walmart,ai engineer,Process Engineer - Supply Chain,R-2426140,(USA) TX PALESTINE 06036 REGIONAL,Posted 22 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PALESTINE-06036-REGIONAL/Process-Engineer---Supply-Chain_R-2426140
Walmart,ai engineer,"(USA) Staff, Software Engineer",R-2403656,"Dallas, TX",Posted 29 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/XMLNAME--USA--Staff--Software-Engineer_R-2403656
Walmart,ai engineer,"Senior, Data Scientist",R-2367400,"Grapevine, TX",Posted 20 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Grapevine-TX/Senior--Data-Scientist_R-2367400
Walmart,ai engineer,"Staff, Software Engineer, Information Security",R-2377783,"Dallas, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/Staff--Software-Engineer--Information-Security_R-2377783
Walmart,ai engineer,(USA) Senior Analyst-Quality Control,R-2438272,2 Locations,Posted 7 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-TERRELL-06295-GROCERY/XMLNAME--USA--Senior-Analyst-Quality-Control_R-2438272
Walmart,ai engineer,"(USA) Manager II, Process Engineer - Supply Chain",R-2414469,"Sanger, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Sanger-TX/XMLNAME--USA--Manager-II--Process-Engineer---Supply-Chain_R-2414469
Walmart,ai engineer,"(USA) Manager II, Process Engineer - Supply Chain",R-2445924,US TX NEW CANEY 07010 GROCERY,Posted 6 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-NEW-CANEY-07010-GROCERY/XMLNAME--USA--Manager-II--Process-Engineer---Supply-Chain_R-2445924-1
Walmart,ai engineer,"(USA) Manager II, Quality Engineer - Supply Chain",R-2349193,(USA) TX PALESTINE 06036 REGIONAL,Posted 6 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/USA-TX-PALESTINE-06036-REGIONAL/XMLNAME--USA--Manager-II--Quality-Engineer---Supply-Chain_R-2349193
Walmart,ai engineer,"(USA) Analyst II, Quality Engineer - Supply Chain",R-2443030,US TX PALESTINE 06005 FASHION,Posted 8 Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/US-TX-PALESTINE-06005-FASHION/XMLNAME--USA--Analyst-II--Quality-Engineer---Supply-Chain_R-2443030-1
Walmart,ai engineer,"Senior Manager, Information Security",R-2388197,"Dallas, TX",Posted 30+ Days Ago,https://walmart.wd5.myworkdayjobs.com/en-US/WalmartExternal/job/Dallas-TX/Senior-Manager--Information-Security_R-2388197
